training/fb_actor/actor_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/B,training/fb_repr/B_norm,training/fb_repr/F1,training/fb_repr/M1,training/fb_repr/fb_diag,training/fb_repr/fb_loss,training/fb_repr/fb_offdiag,training/fb_repr/orth_loss,training/fb_repr/orth_loss_diag,training/fb_repr/orth_loss_offdiag,training/fb_repr/target_M,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/B,validation/fb_repr/B_norm,validation/fb_repr/F1,validation/fb_repr/M1,validation/fb_repr/fb_diag,validation/fb_repr/fb_loss,validation/fb_repr/fb_offdiag,validation/fb_repr/orth_loss,validation/fb_repr/orth_loss_diag,validation/fb_repr/orth_loss_offdiag,validation/fb_repr/target_M,time/epoch_time,time/total_time,step
-429.8689,127.2824,432.81836,-429.8689,429.8689,1.0,-0.010668867,7.071068,-0.01709299,50.663696,-1558.8866,-1196.7611,403.57684,-41.45128,-100.0007,58.549423,50.909924,116.20351,-127.95883,8313.996,-420.4854,119.3922,426.06982,-420.4854,420.4854,1.0,0.019015169,7.071068,0.9119795,55.97685,-1577.8506,-1005.3192,606.54297,-34.01158,-100.00015,65.98857,55.67285,0.0034424215316772463,395.7591760158539,105000
-412.11182,117.225464,421.03485,-412.11182,412.11182,1.0,-0.012529386,7.071068,-0.33430073,51.35844,-1498.9314,-1075.2211,464.63657,-40.92622,-99.99956,59.073338,51.288094,117.43057,-95.00347,8408.768,-419.40833,116.234406,430.6015,-419.40833,419.40833,1.0,0.002889243,7.071068,0.28576264,54.083607,-1614.2683,-1001.34705,648.199,-35.277725,-99.99991,64.72218,54.124542,0.0034591599464416506,413.0549855232239,110000
-438.36493,122.22595,440.5777,-438.36493,438.36493,1.0,0.0126654655,7.071068,0.42107707,49.408867,-1618.2681,-1138.4803,520.519,-40.731266,-100.00003,59.268764,49.802666,166.92725,-131.6729,8661.303,-408.489,114.549835,412.8025,-408.489,408.489,1.0,0.014257593,7.071068,0.3419241,53.39284,-1518.018,-895.89514,654.71173,-32.58895,-99.99939,67.41044,53.350716,0.003481236410140991,430.461177110672,115000
-423.24915,132.2263,427.96637,-423.24915,423.24915,1.0,-0.01104427,7.071068,-0.11376614,48.443542,-1544.7875,-1074.2374,510.58566,-40.035698,-100.00048,59.964783,48.37005,97.33515,-123.91883,8251.594,-457.49142,125.81631,460.3869,-457.49142,457.49142,1.0,0.009162984,7.071068,0.25412104,56.084877,-1609.1339,-1022.8418,617.14307,-30.850967,-100.000244,69.14928,56.651993,0.0034770374298095704,447.84637331962585,120000
-427.79663,116.21442,439.08054,-427.79663,427.79663,1.0,-0.009160519,7.071068,-0.039323166,53.18749,-1691.2153,-1255.333,476.70724,-40.824894,-99.9997,59.17481,53.237015,122.44185,-159.75917,10586.711,-415.41638,114.45264,418.89462,-415.41638,415.41638,1.0,0.009401171,7.071068,0.21896476,56.048927,-1606.4911,-960.815,678.1996,-32.523483,-99.99985,67.476364,55.62915,0.0035074888229370115,465.3838276863098,125000
-433.7283,133.10187,439.8422,-433.7283,433.7283,1.0,-0.0032283245,7.071068,0.081129454,49.450462,-1588.0098,-1170.1024,455.72357,-37.816315,-99.99986,62.183548,50.06907,156.24776,-130.21376,8908.513,-408.26086,126.30516,417.96783,-408.26086,408.26086,1.0,0.0029916724,7.071068,0.01740694,56.081604,-1641.887,-1015.4776,658.541,-32.131668,-100.000305,67.86864,56.663483,0.0035823810577392578,483.29574275016785,130000
-416.87067,112.701294,422.2271,-416.87067,416.87067,1.0,-0.0039554546,7.071068,0.13797435,52.643364,-1668.8455,-1098.4437,608.64075,-38.239025,-99.999825,61.7608,52.7297,180.07904,-164.80473,11196.025,-434.6615,102.49667,445.46973,-434.6615,434.6615,1.0,0.018582935,7.071068,0.43443367,59.177147,-1712.2908,-1076.3635,663.7245,-27.797295,-100.00021,72.20292,58.658543,0.0035903876781463624,501.2476909160614,135000
-484.4795,106.0058,490.19617,-484.4795,484.4795,1.0,0.0007240975,7.071068,0.27619776,53.572075,-1692.3617,-1232.2552,498.38303,-38.2766,-100.00021,61.723614,53.43757,92.16121,-108.67727,10353.254,-410.56573,111.96872,417.05975,-410.56573,410.56573,1.0,0.01619967,7.071068,0.7947481,63.556362,-1633.391,-936.2831,727.1161,-30.008186,-100.00009,69.991905,63.847527,0.0035729270458221434,519.1123366355896,140000
-437.25253,108.530685,439.83948,-437.25253,437.25253,1.0,-0.0057489597,7.071068,0.054206695,48.097126,-1718.815,-1204.7992,554.35364,-40.337833,-99.99909,59.66126,47.704235,144.908,-143.19849,10015.399,-431.0733,99.638336,435.4312,-431.0733,431.0733,1.0,0.020382473,7.071068,0.82160324,62.730606,-1683.4146,-1002.3583,711.11127,-30.055016,-100.000175,69.94516,62.765015,0.003559157371520996,536.9081327915192,145000
-443.8885,116.12329,448.72723,-443.8885,443.8885,1.0,-0.00045131415,7.071068,0.019570531,49.451942,-1642.9944,-1147.513,534.26636,-38.784855,-99.99902,61.21417,48.922012,125.47882,-118.791725,10002.667,-460.9935,129.00517,469.3111,-460.9935,460.9935,1.0,0.022870857,7.071068,0.6601956,66.47213,-1755.363,-1002.9745,779.7426,-27.35408,-99.99937,72.64529,65.60968,0.0035553521156311036,554.6849031448364,150000
-441.99854,110.92886,449.3553,-441.99854,441.99854,1.0,0.008031788,7.071068,0.099779606,51.323223,-1720.3579,-1237.1082,522.33276,-39.08299,-99.99954,60.916553,51.513855,81.05872,-116.555855,10061.24,-413.41626,113.56142,432.80927,-413.41626,413.41626,1.0,0.009176925,7.071068,0.54434586,65.06493,-1784.1433,-970.3081,844.2677,-30.43248,-100.00037,69.56789,64.49207,0.0035655492305755616,572.5126593112946,155000
-461.50348,117.03682,467.1703,-461.50348,461.50348,1.0,0.0101834,7.071068,0.23437947,53.576965,-1723.7299,-1309.8159,454.10065,-40.186756,-100.00043,59.81367,53.701256,120.80074,-135.25368,9811.243,-452.69727,109.59595,464.73615,-452.69727,452.69727,1.0,0.023129532,7.071068,0.6907379,63.501133,-1697.5332,-1024.0609,702.2548,-28.782532,-100.0002,71.21767,63.251015,0.0035555302143096923,590.2903201580048,160000
-425.58798,102.66256,431.3224,-425.58798,425.58798,1.0,-0.0010597467,7.071068,0.099735394,46.763992,-1703.0117,-1155.1787,586.6433,-38.81031,-100.00064,61.19033,46.590595,138.779,-77.51305,9373.777,-430.015,115.39861,445.55286,-430.015,430.015,1.0,0.014297281,7.071068,0.96788573,69.21329,-1910.9648,-1224.6875,714.881,-28.603683,-100.00004,71.396355,68.49077,0.0035510172367095947,608.0454165935516,165000
-427.83466,120.38507,434.58868,-427.83466,427.83466,1.0,0.0017301935,7.071068,-0.09746754,48.339005,-1728.4502,-1199.8341,568.50885,-39.892696,-100.00044,60.107746,48.82493,129.89078,-103.00275,10444.319,-472.19363,107.955894,478.7775,-472.19363,472.19363,1.0,0.018425612,7.071068,0.791848,71.6916,-1852.9839,-1077.0609,803.54205,-27.618988,-99.99995,72.38096,72.02367,0.0035644612312316893,625.8677325248718,170000
-417.64212,100.673386,426.22565,-417.64212,417.64212,1.0,-0.0033492679,7.071068,0.18917651,51.36692,-1729.632,-1208.275,560.6212,-39.264248,-99.999886,60.735638,51.44715,76.78198,-96.36235,9173.041,-465.96973,132.52087,471.43372,-465.96973,465.96973,1.0,0.011556338,7.071068,0.64480954,70.19061,-1817.9585,-1015.07855,831.3247,-28.444763,-100.00038,71.55562,70.00445,0.003553518056869507,643.6353325843811,175000
-429.31647,114.49716,439.52872,-429.31647,429.31647,1.0,4.519105e-05,7.071068,0.44649455,50.361885,-1721.7998,-1262.4331,497.49078,-38.12399,-100.000015,61.876026,49.86305,147.63774,-100.44959,10238.566,-407.58484,126.49933,414.13406,-407.58484,407.58484,1.0,0.015795665,7.071068,0.13607086,66.54468,-1740.3784,-984.6081,779.25476,-23.484459,-99.999825,76.515366,64.775696,0.00355823974609375,661.426540851593,180000
