training/fb_actor/actor_loss,training/fb_actor/bc_log_prob,training/fb_actor/bc_loss,training/fb_actor/mse,training/fb_actor/q_abs_mean,training/fb_actor/q_loss,training/fb_actor/q_mean,training/fb_actor/std,training/fb_repr/occ_measure_max,training/fb_repr/occ_measure_mean,training/fb_repr/occ_measure_min,training/fb_repr/ortho_diag_loss,training/fb_repr/ortho_loss,training/fb_repr/ortho_off_diag_loss,training/fb_repr/repr_diag_loss,training/fb_repr/repr_loss,training/fb_repr/repr_off_diag_loss,training/grad/max,training/grad/min,training/grad/norm,validation/fb_actor/actor_loss,validation/fb_actor/bc_log_prob,validation/fb_actor/bc_loss,validation/fb_actor/mse,validation/fb_actor/q_abs_mean,validation/fb_actor/q_loss,validation/fb_actor/q_mean,validation/fb_actor/std,validation/fb_repr/occ_measure_max,validation/fb_repr/occ_measure_mean,validation/fb_repr/occ_measure_min,validation/fb_repr/ortho_diag_loss,validation/fb_repr/ortho_loss,validation/fb_repr/ortho_off_diag_loss,validation/fb_repr/repr_diag_loss,validation/fb_repr/repr_loss,validation/fb_repr/repr_off_diag_loss,time/epoch_time,time/total_time,step
-94138.92,-10.35779,10.35779,1.6147194,94149.28,-94149.28,94149.28,1.0,140253.4,414.01334,-69708.1,-1023.9944,369.0226,1393.0168,-2751.9043,59151.508,62146.17,17940.371,-19881.604,4569667.5,-91861.73,-10.479496,10.479496,1.6552881,91872.2,-91872.2,91872.2,1.0,134870.3,613.5879,-68253.625,-1023.9949,428.63562,1452.6306,-2201.314,60208.203,62654.25,0.004720645952224731,533.8246877193451,105000
-96476.85,-10.379705,10.379705,1.6220249,96487.234,-96487.234,96487.234,1.0,131895.45,523.7515,-69043.305,-1023.99475,446.07324,1470.0681,-820.6024,77267.44,78394.266,24192.375,-38540.53,5733320.0,-92339.734,-10.43894,10.43894,1.6417698,92350.17,-92350.17,92350.17,1.0,139196.66,400.1669,-70398.57,-1023.9938,431.70508,1455.6989,-1918.05,70143.13,72343.78,0.0047356646537780765,557.5030200481415,110000
-99119.06,-10.607759,10.607759,1.6980429,99129.67,-99129.67,99129.67,1.0,145108.27,618.45996,-83567.38,-1023.9984,539.49084,1563.4893,-1577.5134,69781.41,71638.766,31377.578,-27813.896,6178820.0,-98952.625,-10.442148,10.442148,1.6428392,98963.07,-98963.07,98963.07,1.0,143269.11,583.2501,-73371.02,-1023.9923,582.69006,1606.6824,-716.39215,69065.41,70055.44,0.004698793697357178,580.996997833252,115000
-99985.695,-10.649138,10.649138,1.7118359,99996.34,-99996.34,99996.34,1.0,146480.78,554.73267,-91427.68,-1023.99207,594.6647,1618.6569,1540.4647,46953.258,45590.88,19356.146,-19948.123,4133201.0,-100859.52,-10.411711,10.411711,1.632693,100869.94,-100869.94,100869.94,1.0,161824.7,489.24683,-85645.14,-1023.9963,656.52344,1680.5198,-1765.0157,45485.75,47436.07,0.004717985010147095,604.5869319438934,120000
-103128.75,-10.48611,10.48611,1.6574929,103139.234,-103139.234,103139.234,1.0,153003.67,403.98047,-77274.69,-1023.99414,552.9657,1576.9598,-907.21936,58027.305,59165.625,20508.646,-20232.695,4788936.0,-101500.8,-10.408003,10.408003,1.6314573,101511.2,-101511.2,101511.2,1.0,143369.61,403.90042,-78869.9,-1023.99805,602.0049,1626.0029,-2521.523,58198.785,60958.42,0.0047216365337371825,628.1951236724854,125000
-105770.05,-10.562114,10.562114,1.6828277,105780.61,-105780.61,105780.61,1.0,148500.7,433.9696,-73620.57,-1023.99744,648.2506,1672.2479,-2145.9946,65110.633,67520.39,39164.777,-42947.625,6274173.0,-105044.44,-10.706993,10.706993,1.7311208,105055.14,-105055.14,105055.14,1.0,177922.23,618.4422,-79502.46,-1023.9969,641.2229,1665.2197,-379.8934,61426.227,62048.496,0.004746744155883789,651.9288532733917,130000
-105454.54,-10.205424,10.205424,1.5639312,105464.74,-105464.74,105464.74,1.0,152843.84,699.1736,-75658.09,-1023.99426,680.282,1704.2761,-1692.4963,55805.434,57723.42,19362.635,-28783.062,4828642.0,-107295.695,-10.511608,10.511608,1.6659921,107306.2,-107306.2,107306.2,1.0,175905.55,624.1246,-84717.06,-1023.9946,734.02246,1758.0172,-2445.1123,56296.97,58972.453,0.004767857170104981,675.7681481838226,135000
-108993.64,-10.26518,10.26518,1.5838497,109003.91,-109003.91,109003.91,1.0,149473.83,700.79144,-80755.95,-1023.99475,651.0689,1675.0636,-816.7403,58643.953,59693.875,26039.354,-19823.672,4921245.5,-106635.72,-10.61231,10.61231,1.6995596,106646.33,-106646.33,106646.33,1.0,175639.55,380.64853,-87637.17,-1023.996,788.0383,1812.0343,-2959.703,53473.562,56654.566,0.0047554298877716065,699.5453071594238,140000
-111204.01,-10.473942,10.473942,1.6534369,111214.484,-111214.484,111214.484,1.0,164984.72,587.2025,-92187.85,-1023.99854,762.00574,1786.0042,-2431.0034,66043.84,68743.39,26933.135,-24373.904,5338306.0,-109491.87,-10.446934,10.446934,1.644434,109502.31,-109502.31,109502.31,1.0,164180.4,620.437,-82682.1,-1023.9959,896.27515,1920.271,-2591.3118,67627.67,70494.34,0.004816245985031128,723.626546382904,145000
-112709.5,-10.278305,10.278305,1.5882248,112719.78,-112719.78,112719.78,1.0,160064.17,598.30457,-94077.54,-1023.99316,757.6914,1781.6846,-1922.8937,72147.234,74360.61,29430.312,-30050.455,5577151.0,-112627.234,-10.391312,10.391312,1.6258938,112637.625,-112637.625,112637.625,1.0,163819.23,661.8493,-75126.03,-1023.9976,936.10925,1960.1067,-2020.8328,68902.94,71201.914,0.004826958227157593,747.7613468170166,150000
